review_number,review
18,"I love how many of my favorite restaurants in Chicago have double lives in Vegas!  Had reservations at Mon Ami after our O show at the Bellagio.  Still had a short wait which was OK , took advantage of the open seats at the bar for our over priced french kiss martini.  We got really nice seats overlooking the Bellagio fountain and our server was so upbeat and friendly.  The food was excellent just like all of my other Mon Ami dining experiences.  Great way to start the night!"
19,"amazing french restaurant in the paris hotel. lots of choices for steak and seafood, but delicious appetizers and salads too. very extensive, although pricy, wine list as well. but, you MUST try the french onion soup, it was my favorite thing on the menu the multiple times i've gone there. (ok fine, by multiple i mean twice. but i plan on going there more.) and apparently amazing seats for the bellagio water show. but it's too cold right now for that (december) so for now, sit inside until spring rolls around."
20,"I'm always a little leery about casino restaurants.  And I know, you're all saying...""But, Damon, Vegas is becoming a gourmet capitol.""  Yes, I'm aware of this, but, that doesn't mean that there aren't stinkers out there.Thankfully, Gabi is not one of them.  I've been to Gabi for a wedding party. A simple friends get together.  And on Valentine's Day.  Every trip was completely worth the bill.I'm not gonna give a run down of the menu, mostly because this is the kind of restaurant where you could close you're eyes and point, no matter where it lands you gonna have  a wonderful meal.  ( but make sure what it lands on isn't something you're allergic to, that would suck.)"
21,"My experience at Mon Ami Gabi was amazing, and I will definitely go back next time I'm in Vegas. Actually I believe that is not the requirement that my girlfriend set next time we go back.Seating & Interiors - Inside is nice, but appears a little crowded and thus can get quite loud. Thankfully i sat outside..no wait at all for our table (we showed up at 6:30 pm and had a reservation through open table..15 minutes later, huge line outside the door).  The outside was very nice, with a great view of the Bellagio fountains (very romantic)...and even though it was slightly cold outside, they had a good amount of heaters outside to keep things regulated...was very nice outside.Pricing - very, very fair. Considering most meals were $18-20..except for the $29 Filet Mignon Au Poivre I ordered...Starters were around $10 which is very good as well (hell, Chili's costs almost as much for appetizers)...I believe Desserts were around $8. The only thing slightly pricey were bottles of wine (cheapest bottles $28-35, everything else around $40-70).  Total price including (generous) tip for two people, two appetizers, one dessert, two entrees and a bottle of wine (remember i had the filet)..$128. Service - SPECTACULAR. Our server Juan, was very articulate, friendly, on the ball with everything, and knowledgeable on all the foods.  Examples: it was slightly windy outside, my napkin fell, when i went to pick it up, he was there in an instant, picked it up, and told me he'd get me a clean one.  After eating our baguette, while crunching up he baguette paper, he was immediately at my side to pick up the trash, and offered another baguette. Food - The filet Mignon was delicious, my girlfriend's lemon chicken was perhaps the best chicken I've ever had. At first I was a little scared of having only an 8 ounce steak for fear of being hungry..but i came out quite full..the banana crepe was also delicious. Presentation was nice...although the escargot could've been presented better, but tasted delicious..The Lobster Bisque..was truly to die for.  The baguette was good as well..the Frites weren't my favorite type of frites, but still quite good, filling, crunchy, but with enough potato inside to make it more than a chip. Overall: The prices are very fair, I highly suggest sitting outside, the service is great ( at least my experience was tremendous). The food is awesome. I highly, highly recommend Mon Ami Gabi."
22,"Ate lunch here twice the past week when I was in vegas.French onion soup and open face shrimp salad sandwhich was good.Their salads are kind of bland and have flavors that just don't work all that well...or are not present (the guyere was bland).A solid place to eat if you are at the Paris; but, nothing to crave or look forward to."
23,"really cool location at the paris las vegas hotel...right on the sidewalk so you can check out the array of people types who visit las vegas.  i suggest you avoid the patio seating when it gets warm out.  the tabletops heat up, and the umbrellas do not help.at around 2:30pm on a wednesday afternoon, the hostess said there'd be a 30 minute wait.  it was probably more like 20, and my boyfriend thinks it's a scam to get their patrons to gamble while they wait.  haha.  they are so smart!  my boyfriend blew a dollar on the wheel-of-fortune machine, but gained $15 playing poker at the Poker Room bar.the baguette and butter we were first served was DELICOUS.  quite possibly the most delicous bread and butter i've ever consumed.  i ordered the brie burger, but took it apart because i asked for medium well, and it was more like medium and i prefer my hamburger meat COOKED.  the bun looked delicious, but i wasn't in the mood to carboload.  the fries were pretty yummy.  my boyfriend had the chicken and brie sandwich and that was pretty phenomenal.  it made me feel bad that i ordered a burger.it was just too bad we were sitting outside on the patio in 90+ degree heat.  i couldn't properly enjoy my food under those conditions."
24,"The outdoor seating is a must!  If you get there after 3:00pm you have a beautiful view of the Bellagio fountains going off every 1/2 hour.  It really is a venu appropriate for all sorts of occasions-- from a romantic evening for two, to a little girl's 8th birthday party.  (I have seen all kinds of patronage)  Makes sense, I guess, since it is part of a hotel on the Las Vegas strip.Don't miss the French onion soup, for it is divine, and the roast chicken dish is amazing, too.  Be prepared to spend a pretty penny, though, as Mon Ami Gabi is by no means one of those cheapies scattering the strip.  It has always been a special experience for me."
25,"LUNCH - Mon Ami Gabi has pretty tasty food accompanied by a relaxing atmosphere. If you sit outside, you can spy on the streams of tourists passing by and watch (but not hear) the fountains of the Bellagio hotel across the street. Inside are darker rooms as well as a brightly lit atrium type room which lets in light but not so much the weather. Onion soup - very deep flavor; not a very thick broth, but not light. There is plenty of delicious Gruyre cheese on top and some onions in the soup. Lobster bisque w/ orzo - a waiter brings a bowl with a few tiny chunks of lobster and 1/5 cup of orzo rice. Then he pours the lobster bisque out of a little pitcher. The lobster bisque has a slight seafood-y taste but I found it bearable. The bisque is also a little spicy which I really liked! Sauted Spinach & Brie Crpe - a pretty large crepe with lots of brie and very fresh spinach. The crepe skin was a little dry and bland, but the brie and spinach made it better. The crepe also comes with a small side salad on the plate. Classic Quiche Lorraine,  with bacon - the BEST quiche I've had anywhere. It's creamy and eggy and the crust is tender and buttery. The Quiche Lorraine also comes with sweet, caramelized onions scattered throughout the quiche and lends a nice contrast to the salty elements. Vegetable Quiche - same delicious eggy center and tender crust and contains spinach and mushrooms rather than bacon and onions. Liked the textures, but thought it wasn't as flavorful as the Quiche Lorraine. Chicken & Brie Sandwich, caramelized onion and apple - this sandwich came on a soft ciabatta roll. The flavors were light but complemented each other well. The brie was mild and was delicious with the onions and the apples. The sweetness of the apples and onions paired well with the relatively tender chicken breast. Also came with a huge side order of Mon Ami's thin, crispy frites. I still personally prefer my steak fries, but fans of crispy fries should like the frites. Only problem was that some seemed to have been sitting around for a while."
26,"Yes, it's a LEY restaurant, of which there are a skatillion in my hometown of Chicago, yet Mon Ami Gabi is my favorite place to have lunch in Las Vegas.  If you get there early (like, right when they open) you're sure to score a table outside so you can watch a) the people and b) the Bellagio fountains.  In my opinion, that's really the best thing about eating here, although I also love the food and service.  Even though it's smack in the middle of the Strip, they've done their best to recreate a French bistro, right down to the waiters themselves, who are often from France!Everything I've ever eaten here has been tasty.  Maybe I'm just fortunate, or maybe it's just that good!"
27,"I've been to a lot of restaurants in LV.  At one point, the experiences can get all clouded (and no, it's not because I've had one too many).  But I really enjoyed Mon Ami Gabi.  Expect to pay a bit more than what you may have wanted to, but whatever.It opened at 11, we got there at 11:20 and there was a 40-minute wait to sit outside!!  That sounds ridiculous, but my mom really wouldn't have it any other way, so we opted to wait.  Yes, they give you those shiny, shaky pagers so you can keep on gambling while you wait.  The decor was really pretty inside.  They have a Bloody Mary Bar!!!  Always a hit!  Of course by sitting outside, you've got prime views of the Bellagio fountains--so lunch and a show, always nice.I ordered the cheese plate.  Everytime I go to the Paris Hotel, I  must have me a cheese plate.  They've got the good stuff.  My plate came with brie, gorgonzola, and goat cheese.  It was accompanied by apple slices, grapes, and candied dates---the pairings were really good.  It also comes with a couple different breads to choose from.  The coffee was really good, too.  Always a plus.My mom and sister split a fish and chips.  The fish was high class.  This ain't pub food.  It was lightly battered and fried---it looked like the entire fillet of halbut on the plate.  The chips are a bit different.  They're more like homemade potato crunchies than chips or fries.  That was a bit of a disappointment.  Other than that, can't complain."
28,Great place for lunch. We sat on the patio across from the Bellagio fountain. The food was so parisian that the strip could have been replaced by the Champs +D'Eleyse.
29,Get the Filet Mignon with Merlot Butter. Rare.You will get a taste of heaven.
30,"Mon Ami Gabi is a great spot for a nice dinner.  Not quite upscale like the Eiffel Tower restaurant but still a decent place for a meal.  Most will recognize Mon Ami Gabi for being ""that sidewalk cafe at Paris"".  Yup, that place.The wait can get a little long, so you may want to call ahead or put your name down and gamble for a bit.  Thankfully, we didn't have to wait long since we called ahead and were seated promptly.  The staff was very nice and filled our waters without being asked.  The hanger steak was very flavorful and cooked just as requested.  I don't know if it was the alcohol or what, but I loved the steak and it was easily one of the best steaks I've had.  I've never had ""frites"" before (think regular french fries but thinner and less greasy) and they complimented the steak famously.  After a couple martinis and the meal, we finished our meal by enjoying a strawberry crepe.  Not the best I've ever had, but still very tasty and enjoyable.I wouldn't hesitate to visit Mon Ami Gabi again."
31,"Couldn't ask for a better special occassion dinner (parent's anniversary).  Everyone was a bit skeptical at first, especially put off by the wait, but what do you expect on a Saturday night in Vegas?  It was a bit dark in the restaurant (but I like that), and the waiter was good, considering we were undecided and had 2 small children with us.  We ordered mussels and most had the filet with pommes frittes.  We sat inside due to the heat.  It was the best dinner, and it appealed to everyone in our party."
32,"Really really great place.  Small bar, but friendly bartender, made up for the short wait for our reservations.  I don't know how long it takes to be seated without one, but it's in the middle of Paris casino so there's stuff to do in the meantime.  The food is quite good: I had the Ahi tuna salad and mooched off my girlfriend's steak and frites.  The frites are a little funky, but still tasty.  Prices are what you'd expect from a Vegas restaurant, but it's worth it for the food quality and ambiance."
33,"2nd time eating here.  They actually had our reservation for 8 at 7:15, but we didn't get seated until 8pm.  GRRR.  Then again, it was CES week, and there were about 100,000 extra people than a regular week in vegas.  Great service, excellent food.  If you order anything else besides steak, then you have made a horrible mistake.  Most of the steaks were very juicy and tender.  Highly recommended, and definitely would suggest making a reservation well in advance."
34,"Vegas closes down early, and there aren't many decent places to eat on the later side.  And there are many things to steer away from at this restaurant.  The fries, for example.  They call these fries?  And yet, and yet . . . . There are some terrific wines, not horribly priced.  The steak au poivre is terrific, as good as any SF bistro (except for the frites which, frankly, suck).  The salads are executed poorly as to presentation, but the ingredients?  Actually pretty good.   For example, we had a serrano and mozzarella and fig salad.  Big old pile of the jambon, sliced too thickly, and there was no art in the presentation.  It looked like no one cared enough to make it pretty.  But the taste?  Quite good.  All very high end ingredients, and even the dressing was good.  Same with the heirloom tomato salad (flown in, who knew they cared) and the frisee with lardon.  So if you order carefully and not on the outer limits of cuisine (you know, plain and simple, don't get creative), you'll get a good, maybe even a great, late-night meal.  Sit outside and it's perfect.  Just like Paris (except it's the Bellagio fountains and hordes of Americans, so maybe not so much like Paris, except it's outdoor bistro dining, so that's like Paris, right?)"
35,"mother's day lunchbusy busyreservations madeyay we have a tableseated in the well-lighted indoor areanice interiorsea scallops with cheese and carmelized onionssalty and gooey and sweetoh i think i'm going to be nauseousno more scallops for moicreamy chicken & mushroom crepecreamy, yes. not enough to save the dry chickengeez, even i'd make better crepes"
36,"It's always hard deciding where to eat in Vegas bc there are just so many places to choose from.  This was my third time at Mon Ami, and I've loved it every time.  Their bread is so good that I almost always fill on up on it by the time my food arrives.   I always get one of the hanger steaks, which are thin and tender.  I love their pomme frittes, which are similar to potato chips - thin and crispy.  I'm not sure how long the wait is bc I've always made sure to make reservations beforehand and never had to wait long for my table.   Definitely one of my favorites and affordable for someone on my sad salary."
37,"Mon Ami Gabi brunch menu reminds me of SF's Grand Cafe menu. The quiches and French toast plates are comparable to a 3-star menu.The awesome view of the Bellagio water show from the outdoor patio kicks up a star. Of course the patio is great for people watching and sun-soaking.The fifth star is from the ""bom digi bom di deng di deng digigi uu uuu"" Bloody Mary and the full veggie bar with delicious cured carrot sticks, crispy celery sticks, several different olives, a dozen of hot sauces, and best of all, beef jerky to stash in your Bloody Mary."
38,"The food here is very good.  I had a filet with merlot sauce and asparagus that was cooked perfectly and tasted amazing.   Others I was with had the scallops, which were raved about, and the escargot, which, while scorching hot, was also good.I tried my first escargot, just because, you never know what you might like.  Me- Not so much with the escargot.This place does lose points on the environment.  It's very cramped and noisy.  Not a really good place for a romantic dinner, but a good place for really good eats."
39,"There is nothing better than sitting outside with your girlfriends drinking champagne eating onion soup and watching the water show at the Bellagio as the afternoon goes by. This is the best patio in Las Vegas. Is it the best French food in the world? No, but hey we are not in Paris anyway. So go, immediately and sit outside on the patio or have brunch on Sunday under the Atrium. Even if you can only stop in for a drink at the bar facing the strip you will be glad you made the effort of finding it. That is a Parisian experience for sure!! And in the more traditional event that you would like to eat dinner inside, that too is a romantic endeavor and one that will light your faces up by candlelight and be a beautiful dinner, I promise.If you would like to sit outside it is the only thing that a reservation is not good for. You must come and sign up as they do not hold tables for anyone. However sometimes I will admit to making a reservation, and then if the wait isn't that long canceling it to sit outside. I know it may be wrong, but you have to know how to work the system to get a good table!!!!!"
40,"I went here once for a friends birthday and was not overly impressed. The wait was a while, but that's what we should expect in Vegas I guess. It had a nice bar area to grab some drinks while you wait, or you could always hit up the card tables which were nearby.The fillet was good, but it was nothing jaw dropping. They cooked the Tuna a friend ordered instead of searing it and kinda made a fuss about it, saying it was lighting or something. I think it was a little over-priced for what you get too. It was nice just to try it, but I dont' think I'd jump to the suggestion of coming here again unless I really had to"
41,"It's a chain restaurant.  And what's with the name of the corporation?  Lettuce Entertain You??  But what a view!  If you're lucky enough to snag one of the outdoor tables, you're almost on top of Las Vegas Boulevard, with a view of The Bellagio fountains.Reservations are not taken for outdoor tables, so it's first come, first served.  I arrived for lunch at 11:20 am, ten minutes before opening time.  That earned me a table next to the railing, with a direct view of The Bellagio.  There was some traffic noise, but nothing terrible.I had Steak Classique: a large (10"" x 8""), thin piece of grilled steak, tender and with very good flavor.  A large pat of herb butter was on top.  Accompanying it was a huge pile of french fries, cut thin like egg noodles and very crisp.  All in all, a good meal in an excellent setting.The bill (including a drink, tax, and tip):  $35."
42,"I really want to give this place 4 1/2 stars, but it seems like its not a Yelp feature.For me, the appeal of this place was being able to sit out in the patio area across the street from the Bellagio fountains and people watch while eating good food. Heat is not a problem (in the warm nights) because they blast you with outdoor air conditioning.Our waitress was not from France but I think she put on a french accent just for kicks (I didn't hear the other servers doing it) which was actually nice.The food is worth the price but nothing spectacular. I do reccommend the scallop appetizer. We saw a guy eating it at the bar and we had to order ourselves and it was very tasty.So why not 5 stars? Just a couple minor technical errors. They overcooked a steak and we had to send it back, and they brought out two Creme Brulee's when we ordered one. Even if they messed up with the steak... I still feel bad sending it back,but thats not something that should happen at $30 a steak."
43,"i'd rate this as a ""high"" 3.5 star which rounds the rating up to 4.me, the wife and the in-laws had a nice dinner here.  i started with an smash of an onion soup that was fully of cheesy goodness.  the wife and the pop-in-law split a salade maison, which was a mixed green salad w/ a house vinagrette and a goat cheese crouton.  they enjoyed it but nothing special for them.  mom-in-law just had sat tight for her entree.  i had the skate, as my entree, which was very tasty but oh so buttery, a bit too much i would say.  the wife had the lemon chicken w/ french cut beans which she found flavorful but a bit overcooked.  pop-in-paw had the thyme-seared salmon which was quite good and mom-in-law had the sampler of vegetables which looked excellent and i tried some beets and was won over.we all split the chocolate mousse for dessert and loved it.  it was a bit thick but they added lil pellets of crunchy chocolate thingies (cue homer) and that just made it!  this itself makes the place a 4 star!the service was good though a bit on the slow side.  our waitress was quite nice to us and very funny too.  she suggested a great pinot noir but i completely forget the name of it but it's the only pinot noir on their wine by the glass list."
44,"I am not an authority on French cuisine, but  I certainly enjoy the food here.  I have been here for dinner and lunch.  My parents and other people that I know that have been here all rave about this place and I agree that it is warranted.Update:  I recommended to one of my co-workers (bona fide French!) and she fully approved of the place.  I steered her away from the buffet (boofet!).The service sometimes leaves a bit to be desired.  I think that it is nice to sit outside when the weather is nice, but the service seems worse out there.  Inside and for dinner, the service seems better.As someone who is tired of most of the casino restaurants, I can't say that I ever tire of this place.  I feel like a lot of the casinos have now taken for granted that after dropping a couple of g's at the tables, customers will not mind paying $45 for a buffet dinner that is a bit so-so... Wynn, I'm looking at you!So if you REALLY want to eat somewhere on the Strip and you pass on my two places in my other reviews La Scala and Ichiza, then this place will deliver.  Also, you can make reservations here via OpenTable.com."
45,I went here while on vacation and had a wonderful experience here! The atmosphere is great and the dining was fantastic! I definitely recommend it!
46,"This is a chain so I've been to more than one, but always a pleasant meal.Some things are a bit rich/creamy (it's French!), but everything tastes great. Decent cheese plate and all the salads are gooooooooood.They have a pretty good wine selection, and a full bar for cocktails.Every time I've been to this location has been the best because I'm with my girlfriends that I don't see everyday, so that's a perk, but I would recommend it none the less. PS, leave the kids at home."
47,"This was my third time eating here over the past seven years or so, and I've always ordered the same thing:  The Steak Frites with Brandy Peppercorn Sauce.  It's a Top Sirloin, pounded very thin, but still very tender, and the sauce is wonderful.  My only quibble is that they've changed the style of their frites (again) and no longer have the shoestrings.  The new frites are so crisp they've not so good for dipping in the excess peppercorn sauce (half the fun).Unlike me, my wife ordered the Filet Mignon with Merlot Butter, Rare.  Normally I like my steak medium rare (this this was really, really rare), but I tried a bite and it was hands-down the most tender piece of beef I can ever remember tasting.  Almost like perfect, seared ahi tuna.  Wow.  I also learned that you can order any of their steaks with any of the sauces.  So next time, I'll probably mix and match with the Filet.All in all, one of my favorite places to eat in Vegas.  Excellent service and extensive wine list, too.  So why only 4 stars?  Well, I miss the shoestring frites -- a lot.  That's probably only worth a 1/2 star deduction, but Yelp doesn't do 1/2's."
48,"I love French Food and having lived in France for numerous years makes me very particular.I enjoyed Mon Ami Gabi very much.  The food is not the ""over the top"" French fare of many LV restos but rather a more comfortable bistro fare (think steak frites, mussels, roasted chicken, etc).My pate was quite good and came with pearl onions, cornichons, and grilled baguette toast.  The toast wasn't quite grilled enough for my liking, and they took care of this issue very quickly.  Otherwise the rest of our food was excellent as was the chocolate cake dessert.I would recommend reservations if you want to eat... we lucked out and got a table with a view of the Bellagio fountains.  Otherwise come prepared to wait in line for a patio seat.The bar area is very cozy, and the bartender made us a few stiff drinks while we waited on our table.  The wine list is very small but very high in quality.  The prices are very reasonable."
49,"This is a cute little french bistro in the Paris hotel.  Unlike the Eiffel tower restaurant, which serves fancy french food, this is more down home french cooking, the type of stuff you find in a Parisian sidewalk cafe.Their steak frites were really excellent, and was the standout for me. The service was very friendly and professional, and I was even able to get a nice table just walking in around dinnertime.  Even more amazing was how affordable this place was given the city-wide tourist trap that is Vegas.  I would definitely come back here again."
50,"For a business trip I planned a group dinner for about 15 colleagues, and put the word out to our Vegas office for recommendations. The head wrote back immediately recommending M-A-G, and got the ball rolling for me. Eventually for a party of 10 we had a private room, our own server and sommelier. The staff invited us over early to check out the personalized menu, wine list, and to see the room.Thanks to the advance planning, everything was smooth as butter. We had people coming and going all through the meal, and the servers didn't bat an eyelash. Thanks to our local office, we also got a lower minimum for the reserved room, which was a really nice touch, and even though we were inside we had a perfect view of the fountains. If you need to get a group meal going, this is a great place to do it. The private rooms accommodate a good number of guests, so chances are M-A-G will work. And I haven't really mentioned the food, but it was great across the board. Everyone was happy, no complaints--I think that says it all!"
51,"Enjoy authentic French Bistro Cuisine while you watch the Belogio Water Show from the Terrace of my favorite restaurant in Las Vegas.  There is ample outdoor seating and a great wine list to chose from.  A great place to dine before you catch a show at the Paris or go shopping at the Forum shops.  If you only have one chance to eat out in Las Vegas and you enjoy French Bistro dining, make sure you come to Mon Ami Gabi.  They take reservations and you may need them especially for dinner."
52,"Great view of the Bellagio fountain, great crepe, great bread, service...etcDon't leave Vegas without brunch here at some point."
53,"I dined here for the 2nd time on August 14th, 2007. I have to say that I wasn't looking forward to coming here as the 1st time I ate here a couple years ago I didn't think the food was that great nor the service. However, I'm so glad I came back because I enjoyed it more the 2nd time for two main reasons: our waiter was fantastic and I ordered a better dish. I had the skate with crispy garlic chips, vegetable salsa and caper lemon butter. It was absolutely amazing that I finished it all! Their fries and cocktails were also great! Prices are reasonable and they did a great job servicing our group of 9 girls."
54,"I went to Las Vegas to celebrate a girlfriend's birthday, and it was a very memorable experience.  After putting a request in for the patio at 8:15PM, we were seated by 8:45 -- on a Saturday night!  We had everything from appetizers, a bottle of wine, entrees, two desserts and coffee all around.  For five people it came out to a total of $314 with tip.  Not bad considering we got to sit outside on the patio and enjoyed the Bellagio hotel fountain show.  I had the Fillet Mignon with Merlot butter, but made the mistake of switching out the frites for mashed potatoes, which wasn't very flavorful.  I wish our waiter had told us that they are known for their frites!  We did experience one pissy server but all in all it was a great experience and will go back again.  At one point I found myself getting caught up in the moment and almost forgot I was in Las Vegas.  I was soaking in the ambiance, people walking on the sidewalk in front of us, and the beautiful music and water show from across the street, when a truck drove by pulling a picture of a half naked lady for some nudey show.  Ahh Vegas -- you gotta love it."
55,"I'm glad I decided on this one as my last dinner in Vegas, because it was an incredible experience!The atmosphere was dark and sophisticated, but it wasn't uptight either. I saw some people wearing casual clothes...hell, I was wearing a polo shirt and jeans and no one seemed to mind. I initially had the impression that it would be a fine dining experience, but it certainly wasn't the case. I always order steak so I decided to give their pork loin a try. It tasted wonderful, but unfortunately mine was cooked to the point of it being dry. I like my pork well done, but just because it's well done doesn't mean it has to be dry. Towards the end of my meal I was struggling to chew one more bite of the pork just because its dryness. The price for dinner was pretty hefty considering it wasn't a fine-dining restaurant, but I thought it was worth it for the experience to eat in front of the dancing waterfall at the Bellagio."
56,"I went for a relaxing lazy sunday lunch... French Onion Soup = SOOOO YUMMMMMMMMMMMMY!!!!!!!!!!!!!!The cheese was just burnt enough, the broth not too oniony and not too salty.  Truly perfect.He got the Brie Burger = SO YUMMY!!!!!!!!!!!!!Mon Ami Gabi gets one notch down because I shamefully got the spinach crepe. Silly girl you can get a crepe on the street, you get something YUMMY at Mon Ami Gabi.  Plus, our waiter was too busy chatting up a table of cougars to check up on us.Next time we are getting two soups and splitting that heavenly brie burger so that we have room for dessert. MMMM"
57,"This is the second time we brunch here on Sunday and we have never been disappointed.  The food is excellent there is no other way to put it.  I had a go at the ""make your own bloody mary"" bar, what a concept.  Loved it.  I would go with five stars, however the service was poor.  Had a great view of the fountains of Bellagio and an excellent place to people watch.  The patio was a bit hot but the view was great."
